scenario,vus,k6_exit,p95_ms,p99_ms,fail_rate_pct,req_per_sec,rejected_pct,process_cpu_max_pct,system_cpu_max_pct,heap_max_pct,tomcat_busy_pct,gc_pause_seconds,hikari_active_pct,hikari_pending_max,hikari_acquire_avg_ms,hikari_acquire_max_ms,hikari_usage_avg_ms,hikari_usage_max_ms,hikari_timeouts,db_applied,db_actual,count_mismatch
distributed-apply,10,0,1107.45,1199.31,0.00,4.40,0.00,22.86,22.99,62.61,4.50,0.01,80.00,0.00,77.08,99.41,736.37,5948.00,0.00,830,830,0
same-course-apply,10,0,1117.17,1231.02,0.00,4.49,0.00,15.20,14.73,63.07,3.00,0.01,50.00,0.00,10.29,114.64,785.41,4290.00,0.00,823,823,0
