scenario,vus,k6_exit,p95_ms,p99_ms,fail_rate_pct,req_per_sec,rejected_pct,process_cpu_max_pct,system_cpu_max_pct,heap_max_pct,tomcat_busy_pct,gc_pause_seconds,hikari_active_pct,hikari_pending_max,hikari_acquire_avg_ms,hikari_acquire_max_ms,hikari_usage_avg_ms,hikari_usage_max_ms,hikari_timeouts,db_applied,db_actual,count_mismatch
distributed-apply,20,0,1095.57,1350.19,0.00,9.02,0.00,27.20,27.29,63.65,5.50,0.02,100.00,0.00,26.07,593.14,737.60,5728.00,0.00,1700,1700,0
same-course-apply,20,0,2734.98,2994.33,0.00,5.10,0.00,8.00,7.75,64.33,7.50,0.01,100.00,4.00,657.28,1233.74,1833.59,3995.00,0.00,943,943,0
