sampled_at_utc,wait_count
2026-09-03 09:40:06.050264,0
2026-09-03 09:40:06.313370,0
2026-09-03 09:40:06.578923,0
2026-09-03 09:40:06.835562,0
2026-09-03 09:40:07.094173,0
2026-09-03 09:40:07.344925,0
2026-09-03 09:40:07.601978,0
2026-09-03 09:40:07.844878,0
2026-09-03 09:40:08.102360,0
2026-09-03 09:40:08.359914,0
2026-09-03 09:40:08.608241,0
2026-09-03 09:40:08.865852,0
2026-09-03 09:40:09.119602,0
2026-09-03 09:40:09.362294,0
2026-09-03 09:40:09.620174,0
2026-09-03 09:40:09.874846,0
2026-09-03 09:40:10.127741,0
2026-09-03 09:40:10.380804,0
2026-09-03 09:40:10.638375,0
2026-09-03 09:40:10.895121,0
2026-09-03 09:40:11.149014,0
2026-09-03 09:40:11.400525,0
2026-09-03 09:40:11.654236,0
2026-09-03 09:40:11.914779,0
2026-09-03 09:40:12.170045,0
2026-09-03 09:40:12.416717,0
2026-09-03 09:40:12.666991,0
2026-09-03 09:40:12.930259,0
2026-09-03 09:40:13.180360,0
2026-09-03 09:40:13.428322,0
2026-09-03 09:40:13.672320,0
2026-09-03 09:40:13.934313,0
2026-09-03 09:40:14.196572,0
2026-09-03 09:40:14.465720,0
2026-09-03 09:40:14.720583,0
2026-09-03 09:40:14.968490,0
2026-09-03 09:40:15.219438,0
2026-09-03 09:40:15.467961,0
2026-09-03 09:40:15.723015,0
2026-09-03 09:40:15.987174,0
2026-09-03 09:40:16.234422,0
2026-09-03 09:40:16.496841,0
2026-09-03 09:40:16.740127,0
2026-09-03 09:40:16.982690,0
2026-09-03 09:40:17.225027,0
2026-09-03 09:40:17.473231,0
2026-09-03 09:40:17.739616,0
2026-09-03 09:40:17.991165,0
2026-09-03 09:40:18.250541,0
2026-09-03 09:40:18.503832,0
2026-09-03 09:40:18.766276,0
2026-09-03 09:40:19.020564,0
2026-09-03 09:40:19.284206,0
2026-09-03 09:40:19.535739,0
2026-09-03 09:40:19.796961,0
2026-09-03 09:40:20.051868,0
2026-09-03 09:40:20.312684,0
2026-09-03 09:40:20.570938,0
2026-09-03 09:40:20.835811,0
2026-09-03 09:40:21.090047,0
2026-09-03 09:40:21.348487,0
2026-09-03 09:40:21.591748,0
2026-09-03 09:40:21.841400,0
2026-09-03 09:40:22.099101,0
2026-09-03 09:40:22.347017,0
2026-09-03 09:40:22.614078,0
2026-09-03 09:40:22.855449,0
2026-09-03 09:40:23.093329,0
2026-09-03 09:40:23.350900,0
2026-09-03 09:40:23.626163,0
2026-09-03 09:40:23.885529,0
2026-09-03 09:40:24.141703,0
2026-09-03 09:40:24.392217,0
2026-09-03 09:40:24.653476,0
2026-09-03 09:40:24.925925,0
2026-09-03 09:40:25.174069,0
2026-09-03 09:40:25.423825,0
2026-09-03 09:40:25.677567,0
2026-09-03 09:40:25.934992,0
2026-09-03 09:40:26.192325,0
2026-09-03 09:40:26.460910,0
2026-09-03 09:40:26.714955,0
2026-09-03 09:40:26.965344,0
2026-09-03 09:40:27.219588,0
2026-09-03 09:40:27.476154,0
2026-09-03 09:40:27.725816,0
2026-09-03 09:40:27.977399,0
2026-09-03 09:40:28.236685,0
2026-09-03 09:40:28.502384,0
2026-09-03 09:40:28.755981,0
2026-09-03 09:40:29.000823,0
2026-09-03 09:40:29.260041,0
2026-09-03 09:40:29.527694,0
2026-09-03 09:40:29.779808,0
2026-09-03 09:40:30.039555,0
2026-09-03 09:40:30.297973,0
2026-09-03 09:40:30.545852,0
2026-09-03 09:40:30.804935,0
2026-09-03 09:40:31.070059,0
2026-09-03 09:40:31.330631,0
2026-09-03 09:40:31.581033,0
2026-09-03 09:40:31.838187,1
2026-09-03 09:40:32.129829,0
2026-09-03 09:40:32.373829,0
2026-09-03 09:40:32.627015,0
2026-09-03 09:40:32.863715,0
2026-09-03 09:40:33.106591,0
2026-09-03 09:40:33.370268,1
2026-09-03 09:40:33.650592,0
2026-09-03 09:40:33.886478,0
2026-09-03 09:40:34.145923,0
2026-09-03 09:40:34.396839,1
2026-09-03 09:40:34.682449,0
2026-09-03 09:40:34.939709,0
2026-09-03 09:40:35.185273,0
2026-09-03 09:40:35.436621,0
2026-09-03 09:40:35.698832,0
2026-09-03 09:40:35.959520,1
2026-09-03 09:40:36.240165,0
2026-09-03 09:40:36.484338,0
2026-09-03 09:40:36.737946,0
2026-09-03 09:40:36.986126,0
2026-09-03 09:40:37.235937,0
2026-09-03 09:40:37.483130,1
2026-09-03 09:40:37.764417,0
2026-09-03 09:40:38.008259,0
2026-09-03 09:40:38.260214,0
2026-09-03 09:40:38.518324,3
2026-09-03 09:40:38.804663,0
2026-09-03 09:40:39.055539,0
2026-09-03 09:40:39.305784,0
2026-09-03 09:40:39.559990,1
2026-09-03 09:40:39.838369,0
2026-09-03 09:40:40.082845,0
2026-09-03 09:40:40.330445,0
2026-09-03 09:40:40.589251,1
2026-09-03 09:40:40.870922,0
2026-09-03 09:40:41.116198,0
2026-09-03 09:40:41.357746,0
2026-09-03 09:40:41.618576,3
2026-09-03 09:40:41.892252,0
2026-09-03 09:40:42.150957,6
2026-09-03 09:40:42.424010,0
2026-09-03 09:40:42.666403,0
2026-09-03 09:40:42.910686,1
2026-09-03 09:40:43.190503,0
2026-09-03 09:40:43.436283,0
2026-09-03 09:40:43.685087,3
2026-09-03 09:40:43.957911,0
2026-09-03 09:40:44.213911,3
2026-09-03 09:40:44.487242,0
2026-09-03 09:40:44.734190,0
2026-09-03 09:40:44.976002,0
2026-09-03 09:40:45.218249,0
2026-09-03 09:40:45.468654,0
2026-09-03 09:40:45.734789,6
2026-09-03 09:40:46.000236,0
2026-09-03 09:40:46.247893,6
2026-09-03 09:40:46.510686,0
2026-09-03 09:40:46.759895,6
2026-09-03 09:40:47.032044,1
2026-09-03 09:40:47.301366,0
2026-09-03 09:40:47.536553,0
2026-09-03 09:40:47.786776,6
2026-09-03 09:40:48.066245,1
2026-09-03 09:40:48.337494,0
2026-09-03 09:40:48.572211,0
2026-09-03 09:40:48.820728,6
2026-09-03 09:40:49.103201,0
2026-09-03 09:40:49.361089,1
2026-09-03 09:40:49.637649,0
2026-09-03 09:40:49.883044,0
2026-09-03 09:40:50.139355,0
2026-09-03 09:40:50.392537,0
2026-09-03 09:40:50.640274,0
2026-09-03 09:40:50.886991,3
2026-09-03 09:40:51.174517,0
2026-09-03 09:40:51.417553,3
2026-09-03 09:40:51.683073,0
2026-09-03 09:40:51.927138,0
2026-09-03 09:40:52.168759,1
2026-09-03 09:40:52.444480,0
2026-09-03 09:40:52.695740,0
2026-09-03 09:40:52.957923,0
2026-09-03 09:40:53.222357,0
2026-09-03 09:40:53.467861,1
2026-09-03 09:40:53.732369,0
2026-09-03 09:40:53.984624,0
2026-09-03 09:40:54.245713,1
2026-09-03 09:40:54.520520,0
2026-09-03 09:40:54.765069,0
2026-09-03 09:40:55.013273,3
2026-09-03 09:40:55.287683,0
2026-09-03 09:40:55.536265,0
2026-09-03 09:40:55.783348,0
